home_team_rank,away_team_rank,home_team_form,away_team_form,home_goal_diff,away_goal_diff,tournament_importance,is_neutral,h2h_points_diff,goal_diff,result
134.0,32.0,0,9,0.0,1.0,1,1,0,0,0
67.0,27.0,0,3,0.0,1.5,1,0,0,-3,2
83.0,134.0,4,1,-1.0,0.0,1,0,0,-1,2
67.0,27.0,0,6,-3.0,2.0,1,0,-3,-2,2
7.0,14.0,9,4,2.0,0.0,1,0,0,-1,2
83.0,26.0,4,3,-1.0,0.0,1,0,0,1,1
20.0,10.0,11,6,2.0,0.0,1,1,0,0,0
55.0,20.0,7,11,0.2,2.0,1,1,0,-2,2
61.0,35.0,8,11,0.2,0.6,1,0,0,0,0
28.0,41.0,11,8,0.6,0.6,1,0,0,0,0
17.0,10.0,2,7,-1.6,0.2,1,1,0,1,1
46.0,30.0,6,9,0.3333333333333333,2.0,1,0,0,0,0
62.0,60.0,0,5,-1.75,-0.2,1,0,0,0,0
17.0,20.0,5,11,-1.2,1.6,1,0,0,0,0
153.0,81.0,0,0,0.0,0.0,2,0,0,1,1
75.0,109.0,1,3,-1.0,-2.0,1,0,0,2,1
12.0,4.0,6,9,2.3333333333333335,1.25,1,0,0,1,1
49.0,8.0,3,10,-0.5,1.6,1,0,0,-1,2
15.0,35.0,2,9,0.0,0.4,1,0,0,0,0
27.0,5.0,3,10,0.5,2.0,1,0,0,-2,2
152.0,145.0,0,0,0.0,0.0,2,0,0,-1,2
30.0,46.0,10,7,1.6,0.25,1,0,-1,1,1
56.0,90.0,5,0,-0.4,-1.0,1,0,0,1,1
25.0,26.0,8,3,0.2,0.5,1,0,0,0,0
32.0,80.0,7,3,0.2,2.0,1,0,0,2,1
124.0,61.0,0,1,0.0,-1.4,1,0,0,1,1
15.0,55.0,7,0,0.2,-2.0,1,0,0,2,1
35.0,52.0,5,3,0.0,-0.6666666666666666,1,0,0,0,0
2.0,8.0,12,8,2.4,-0.6,1,0,0,2,1
1.0,11.0,8,9,1.0,1.25,1,0,0,1,1
34.0,24.0,6,2,1.5,-1.2,1,0,0,0,0
13.0,16.0,4,6,0.0,0.5,1,0,0,0,0
116.0,29.0,0,9,-1.3333333333333333,0.4,1,0,0,-1,2
42.0,10.0,4,12,0.3333333333333333,1.75,1,0,0,2,1
30.0,9.0,4,10,0.0,2.75,1,0,0,-1,2
6.0,125.0,11,0,1.4,0.0,1,0,0,-2,2
18.0,61.0,3,1,0.0,-1.4,1,1,0,3,1
36.0,55.0,7,0,0.2,-2.0,1,0,0,-2,2
32.0,57.0,7,9,0.4,0.6,1,0,0,-2,2
31.0,62.0,7,2,0.2,-0.8,1,1,3,1,1
25.0,61.0,8,1,0.2,-1.8,1,1,0,4,1
58.0,62.0,3,1,-0.6,-1.0,1,1,0,1,1
22.0,73.0,10,8,1.0,0.6,1,1,0,0,0
78.0,60.0,7,3,-0.2,-0.3333333333333333,1,0,0,-1,2
18.0,25.0,6,11,0.75,1.2,1,1,0,0,0
31.0,58.0,9,6,0.4,0.0,1,1,0,1,1
25.0,57.0,11,11,1.2,1.0,1,1,0,-1,2
22.0,58.0,11,6,1.2,0.0,1,1,3,1,1
52.0,123.0,4,4,-0.5,0.5,1,0,0,-1,2
22.0,57.0,11,11,0.8,0.8,1,1,0,4,1
140.0,147.0,3,3,1.0,1.0,1,1,0,-1,2
20.0,56.0,9,4,0.6,-0.4,1,0,-3,-1,2
109.0,140.0,3,3,2.0,0.0,1,1,0,2,1
18.0,22.0,7,11,0.6,1.2,1,1,0,1,1
109.0,147.0,6,6,2.0,1.0,1,1,0,0,0
24.0,36.0,2,6,-1.2,-0.2,1,1,0,1,1
